id;first_name;last_name;email;role;cooperative_id;user_id
1;Sylvia;Herzog;Dora93@yahoo.com;COURIER;18656;12672
2;Reuben;Tremblay;Javonte.Walter@gmail.com;CUSTOMER;27187;47260
3;Elza;Lind;Judah_Kuvalis28@gmail.com;ADMIN;52058;45081
4;Burley;Buckridge;Breanna_Zboncak@gmail.com;ADMIN;51492;15602
5;Bernardo;Mayert;Jailyn.Hilpert@yahoo.com;CUSTOMER;50149;19661
6;Chase;Carroll;Katelyn58@gmail.com;CUSTOMER;28846;93734
7;Rhiannon;Cole;Lisandro.Blick@gmail.com;RESTAURANT_OWNER;69341;27335
8;Tristian;Kling;Roderick.Leannon@hotmail.com;RESTAURANT_OWNER;89381;12012
9;Jared;Bauch;Alana63@yahoo.com;RESTAURANT_OWNER;16414;88466
10;Willy;Marquardt;Flavie70@yahoo.com;COURIER;44867;16729
